entry_time,exit_time,side,entry_px,exit_px,shares,pnl
2025-10-10 12:52:00-04:00,2025-10-10 13:24:00-04:00,short,247.5307142288208,247.65567672882082,-1361.0,-170.0739625000128
2025-10-10 14:32:00-04:00,2025-10-10 15:32:00-04:00,short,246.75094944915773,246.216106288147,-1530.0,818.3100363464339
2025-10-10 15:54:00-04:00,2025-10-13 09:32:00-04:00,short,245.28639261016846,247.9156084915161,-1367.0,-3594.1381098022343
2025-10-13 12:04:00-04:00,2025-10-13 12:38:00-04:00,long,249.01526933898927,248.93219490356446,1837.0,-152.60773787536755
2025-10-13 13:00:00-04:00,2025-10-13 13:14:00-04:00,long,249.48512955932617,248.9752880508423,2104.0,-1072.7065338500697
2025-10-13 14:26:00-04:00,2025-10-13 14:34:00-04:00,long,249.22521305084229,248.91530849151613,3253.0,-1008.1195314879869
2025-10-13 14:44:00-04:00,2025-10-13 15:24:00-04:00,short,248.51541933898926,248.47543805084229,-2289.0,91.51716856842728
2025-10-13 15:56:00-04:00,2025-10-14 10:04:00-04:00,short,247.57569889831544,246.1812199066162,-1867.0,2603.4922775024634
2025-10-14 11:28:00-04:00,2025-10-14 11:36:00-04:00,short,246.16613349151612,246.60598867797853,-1662.0,-731.0393199005248
2025-10-14 12:48:00-04:00,2025-10-14 13:00:00-04:00,long,247.87561194915773,247.52072272033692,2291.0,-813.0512232284743
2025-10-14 13:38:00-04:00,2025-10-14 13:44:00-04:00,short,247.16083011016846,247.4857295593262,-2276.0,-739.4711462829853
2025-10-14 15:00:00-04:00,2025-10-14 15:38:00-04:00,long,247.86562044067384,247.98557955932617,2255.0,270.5078125610089
2025-10-14 15:44:00-04:00,2025-10-15 09:30:00-04:00,short,247.26579433898925,249.30519088134767,-1145.0,-2335.109041000388
2025-10-15 09:32:00-04:00,2025-10-15 10:40:00-04:00,long,249.52012272033693,250.78474261016848,683.0,863.7353847549489
2025-10-15 12:48:00-04:00,2025-10-15 13:32:00-04:00,short,249.0602540084839,248.32547389831544,-1877.0,1379.182266786196
2025-10-15 13:46:00-04:00,2025-10-15 15:04:00-04:00,long,249.215206288147,249.656373336792,1408.0,621.1632044921789
2025-10-15 15:40:00-04:00,2025-10-16 09:30:00-04:00,short,249.19021988983155,248.1955232711792,-2426.0,2413.1339968505795
2025-10-16 09:32:00-04:00,2025-10-16 10:26:00-04:00,short,247.27580110168458,247.4457482711792,-820.0,-139.35667898559984
2025-10-16 12:20:00-04:00,2025-10-16 12:28:00-04:00,short,247.14583522033692,247.7056647796631,-1438.0,-805.03490631104
2025-10-16 12:34:00-04:00,2025-10-16 12:54:00-04:00,short,246.69096988983156,247.1658334915161,-1173.0,-557.0150047759732
2025-10-16 13:46:00-04:00,2025-10-16 14:42:00-04:00,short,246.1961232711792,245.74775623474122,-1413.0,633.5426224868744
2025-10-16 15:52:00-04:00,2025-10-17 09:44:00-04:00,long,247.4757380508423,247.37016365356448,1440.0,-152.02713208006116
2025-10-17 10:14:00-04:00,2025-10-17 10:40:00-04:00,long,249.6550767288208,249.02527610168457,887.0,-558.6331562698396
2025-10-17 11:58:00-04:00,2025-10-17 13:04:00-04:00,long,249.66508349151613,250.50482783050538,1562.0,1311.6806575012065
2025-10-17 14:02:00-04:00,2025-10-17 14:40:00-04:00,long,251.48953294067383,251.73945794067384,1542.0,385.38435000002903
2025-10-17 15:24:00-04:00,2025-10-17 15:52:00-04:00,long,252.7340630340576,252.4942363220215,2147.0,-514.907950741549
2025-10-20 09:32:00-04:00,2025-10-20 11:58:00-04:00,long,257.90261698303226,263.18103176269534,545.0,2876.7360549163786
2025-10-20 13:10:00-04:00,2025-10-20 13:14:00-04:00,long,264.08075566101076,263.3883670043945,1665.0,-1152.8271132660245
2025-10-21 09:40:00-04:00,2025-10-21 09:50:00-04:00,long,264.6605682373047,263.5969835998535,748.0,-795.5613088134869
2025-10-21 11:32:00-04:00,2025-10-21 12:06:00-04:00,long,263.79083411865236,263.7308545593262,1408.0,-84.4512195312418
2025-10-22 09:32:00-04:00,2025-10-22 10:14:00-04:00,short,261.25158757629396,260.9916863220215,-1250.0,324.87656784056185
2025-10-22 11:18:00-04:00,2025-10-22 11:50:00-04:00,short,259.1986147857666,259.0922624237061,-1227.0,130.49434824827495
2025-10-22 12:24:00-04:00,2025-10-22 12:32:00-04:00,short,258.13222337341307,256.9178966186524,-1754.0,2129.9291278502524
2025-10-22 12:32:00-04:00,2025-10-22 12:36:00-04:00,short,256.9178966186524,258.00256257629394,-1028.0,-1115.0366044555255
